Symbol,""Name"",""LastSale"",""MarketCap"",""ADR TSO"",""IPOyear"",""Sector"",""industry"",""Summary Quote""
FLWS,""1-800 FLOWERS.COM, Inc."",""3.71"",""239625561"",""n/a"",""1999"",""Consumer Services"",""Other Specialty Stores"",""http://www.nasdaq.com/symbol/flws""
FCTY,""1st Century Bancshares, Inc"",""4.8"",""43766284.8"",""n/a"",""n/a"",""Finance"",""Major Banks"",""http://www.nasdaq.com/symbol/fcty""
FCCY,""1st Constitution Bancorp (NJ)"",""9.07"",""46546632.31"",""n/a"",""n/a"",""Finance"",""Savings Institutions"",""http://www.nasdaq.com/symbol/fccy""
SRCE,""1st Source Corporation"",""22.34"",""542331894.14"",""n/a"",""n/a"",""Finance"",""Major Banks"",""http://www.nasdaq.com/symbol/srce""
FUBC,""1st United Bancorp, Inc. (FL)"",""6.66"",""226907998.2"",""n/a"",""n/a"",""Finance"",""Major Banks"",""http://www.nasdaq.com/symbol/fubc""
VNET,""21Vianet Group, Inc."",""12"",""671199996"",""n/a"",""n/a"",""Technology"",""Computer Software: Programming, Data Processing"",""http://www.nasdaq.com/symbol/vnet""
SSRX,""3SBio Inc."",""13.57"",""299609655.25"",""n/a"",""2007"",""Consumer Durables"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/ssrx""
JOBS,""51job, Inc."",""46.13"",""1328596588.2"",""n/a"",""2004"",""Technology"",""Diversified Commercial Services"",""http://www.nasdaq.com/symbol/jobs""
EGHT,""8x8 Inc"",""6.14"",""436472061.7"",""n/a"",""n/a"",""Public Utilities"",""Telecommunications Equipment"",""http://www.nasdaq.com/symbol/eght""
AVHI,""A V Homes, Inc."",""14.9"",""194038975"",""n/a"",""n/a"",""Capital Goods"",""Homebuilding"",""http://www.nasdaq.com/symbol/avhi""
SHLM,""A. Schulman, Inc."",""23.34"",""689456014.5"",""n/a"",""1972"",""Basic Industries"",""Major Chemicals"",""http://www.nasdaq.com/symbol/shlm""
AONE,""A123 Systems, Inc."",""0.24"",""40933792.08"",""n/a"",""2009"",""Energy"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/aone""
AAON,""AAON, Inc."",""18.86"",""462648756.82"",""n/a"",""n/a"",""Capital Goods"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/aaon""
ASTM,""Aastrom Biosciences, Inc."",""1.5"",""63883464"",""n/a"",""1997"",""Health Care"",""Biotechnology: Biological Products (No Diagnostic Substances)"",""http://www.nasdaq.com/symbol/astm""
ABAX,""ABAXIS, Inc."",""36.29"",""795921824.27"",""n/a"",""1992"",""Capital Goods"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/abax""
ABMD,""ABIOMED, Inc."",""20.51"",""810713680.77"",""n/a"",""n/a"",""Health Care"",""Medical/Dental Instruments"",""http://www.nasdaq.com/symbol/abmd""
AXAS,""Abraxas Petroleum Corporation"",""2.18"",""201290424.26"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/axas""
ACTG,""Acacia Research Corporation"",""25.43"",""1264234216.69"",""n/a"",""n/a"",""Miscellaneous"",""Multi-Sector Companies"",""http://www.nasdaq.com/symbol/actg""
ACHC,""Acadia Healthcare Company, Inc."",""22.7"",""947299170.7"",""n/a"",""n/a"",""Health Care"",""Medical Specialities"",""http://www.nasdaq.com/symbol/achc""
ACAD,""ACADIA Pharmaceuticals Inc."",""2.41"",""127802321.69"",""n/a"",""1985"",""Consumer Durables"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/acad""
ACCL,""Accelrys, Inc."",""8.97"",""498231330.48"",""n/a"",""1995"",""Technology"",""Computer Software: Prepackaged Software"",""http://www.nasdaq.com/symbol/accl""
ANCX,""Access National Corporation"",""13.51"",""138832367.17"",""n/a"",""n/a"",""Finance"",""Savings Institutions"",""http://www.nasdaq.com/symbol/ancx""
ARAY,""Accuray Incorporated"",""6.64"",""478405891.2"",""n/a"",""2007"",""Health Care"",""Medical/Dental Instruments"",""http://www.nasdaq.com/symbol/aray""
ACRX,""AcelRx Pharmaceuticals, Inc."",""3"",""67875000"",""n/a"",""n/a"",""Consumer Durables"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/acrx""
ACET,""Aceto Corporation"",""9.14"",""247514828.58"",""n/a"",""n/a"",""Consumer Durables"",""Specialty Chemicals"",""http://www.nasdaq.com/symbol/acet""
ACHN,""Achillion Pharmaceuticals, Inc."",""10.64"",""840069293.84"",""n/a"",""2006"",""Consumer Durables"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/achn""
ACIW,""ACI Worldwide, Inc."",""40.78"",""1599217306.28"",""n/a"",""n/a"",""Technology"",""Computer Software: Prepackaged Software"",""http://www.nasdaq.com/symbol/aciw""
APKT,""Acme Packet, Inc."",""16.09"",""1107055201.52"",""n/a"",""2006"",""Technology"",""Computer Communications Equipment"",""http://www.nasdaq.com/symbol/apkt""
ACNB,""ACNB Corporation"",""16"",""95288560"",""n/a"",""n/a"",""Finance"",""Major Banks"",""http://www.nasdaq.com/symbol/acnb""
ACOR,""Acorda Therapeutics, Inc."",""23.61"",""946602175.53"",""n/a"",""2006"",""Health Care"",""Biotechnology: Biological Products (No Diagnostic Substances)"",""http://www.nasdaq.com/symbol/acor""
ACFN,""Acorn Energy, Inc."",""8.39"",""150405449.28"",""n/a"",""n/a"",""Consumer Services"",""Military/Government/Technical"",""http://www.nasdaq.com/symbol/acfn""
ACTS,""Actions Semiconductor Co., Ltd."",""1.48"",""127280000"",""n/a"",""2005"",""Technology"",""Semiconductors"",""http://www.nasdaq.com/symbol/acts""
ACPW,""Active Power, Inc."",""0.75"",""71555723.25"",""n/a"",""2000"",""Public Utilities"",""Electric Utilities: Central"",""http://www.nasdaq.com/symbol/acpw""
ATVI,""Activision Blizzard, Inc"",""11.31"",""12566385905.97"",""n/a"",""n/a"",""Technology"",""Computer Software: Prepackaged Software"",""http://www.nasdaq.com/symbol/atvi""
BIRT,""Actuate Corporation"",""6.3"",""310450190.4"",""n/a"",""n/a"",""Technology"",""Computer Software: Prepackaged Software"",""http://www.nasdaq.com/symbol/birt""
ACUR,""Acura Pharmaceuticals, Inc."",""1.59"",""72922840.98"",""n/a"",""n/a"",""Consumer Durables"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/acur""
ACXM,""Acxiom Corporation"",""17.71"",""1328768672.77"",""n/a"",""n/a"",""Technology"",""EDP Services"",""http://www.nasdaq.com/symbol/acxm""
ADES,""ADA-ES, Inc."",""21.48"",""215098786.8"",""n/a"",""n/a"",""Basic Industries"",""Major Chemicals"",""http://www.nasdaq.com/symbol/ades""
ADUS,""Addus HomeCare Corporation"",""5.75"",""62205702.25"",""n/a"",""2009"",""Health Care"",""Medical/Nursing Services"",""http://www.nasdaq.com/symbol/adus""
AEY,""ADDvantage Technologies Group, Inc."",""2.06"",""20989587.2"",""n/a"",""n/a"",""Consumer Services"",""Office Equipment/Supplies/Services"",""http://www.nasdaq.com/symbol/aey""
ADEP,""Adept Technology, Inc."",""3.91"",""41285068.31"",""n/a"",""n/a"",""Technology"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/adep""
ADBE,""Adobe Systems Incorporated"",""32.33"",""16005115896.93"",""n/a"",""1986"",""Technology"",""Computer Software: Prepackaged Software"",""http://www.nasdaq.com/symbol/adbe""
ADTN,""ADTRAN, Inc."",""15.72"",""994626062.16"",""n/a"",""1994"",""Public Utilities"",""Telecommunications Equipment"",""http://www.nasdaq.com/symbol/adtn""
AEIS,""Advanced Energy Industries, Inc."",""11.62"",""438983741.42"",""n/a"",""1995"",""Capital Goods"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/aeis""
ADVS,""Advent Software, Inc."",""24.15"",""1223324070.15"",""n/a"",""1995"",""Technology"",""EDP Services"",""http://www.nasdaq.com/symbol/advs""
AVCA,""Advocat, Inc."",""5.63"",""33122669.35"",""n/a"",""n/a"",""Health Care"",""Hospital/Nursing Management"",""http://www.nasdaq.com/symbol/avca""
AEGR,""Aegerion Pharmaceuticals, Inc."",""17.46"",""444682087.74"",""n/a"",""2010"",""Consumer Durables"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/aegr""
AEGN,""Aegion Corp"",""18.79"",""738224451.24"",""n/a"",""2000"",""Basic Industries"",""Water Supply"",""http://www.nasdaq.com/symbol/aegn""
AEHR,""Aehr Test Systems"",""0.93"",""8589806.43"",""n/a"",""1997"",""Capital Goods"",""Electrical Products"",""http://www.nasdaq.com/symbol/aehr""
AEPI,""AEP Industries Inc."",""61.43"",""339458862.78"",""n/a"",""1986"",""Capital Goods"",""Specialty Chemicals"",""http://www.nasdaq.com/symbol/aepi""
AVAV,""AeroVironment, Inc."",""23.61"",""525617766.66"",""n/a"",""2007"",""Capital Goods"",""Aerospace"",""http://www.nasdaq.com/symbol/avav""
AEZS,""AEterna Zentaris Inc."",""2.4"",""44966289.6"",""n/a"",""n/a"",""Consumer Durables"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/aezs""
ATRM,""Aetrium Incorporated"",""0.71"",""7654830.21"",""n/a"",""1993"",""Capital Goods"",""Electrical Products"",""http://www.nasdaq.com/symbol/atrm""
AFCE,""AFC Enterprises, Inc."",""26.11"",""627503744.91"",""n/a"",""n/a"",""Consumer Services"",""Restaurants"",""http://www.nasdaq.com/symbol/afce""
AFFY,""Affymax, Inc."",""26.84"",""971386784.72"",""n/a"",""2006"",""Consumer Durables"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/affy""
AFFX,""Affymetrix, Inc."",""3.47"",""245028727.02"",""n/a"",""1996"",""Capital Goods"",""Biotechnology: Laboratory Analytical Instruments"",""http://www.nasdaq.com/symbol/affx""
AGEN,""Agenus Inc."",""4.63"",""113276116.92"",""n/a"",""2000"",""Health Care"",""Biotechnology: Biological Products (No Diagnostic Substances)"",""http://www.nasdaq.com/symbol/agen""
AGYS,""Agilysys, Inc."",""8.65"",""191215351.65"",""n/a"",""n/a"",""Consumer Non-Durables"",""Electronic Components"",""http://www.nasdaq.com/symbol/agys""
AIRM,""Air Methods Corporation"",""110.89"",""1428798133.36"",""n/a"",""n/a"",""Transportation"",""Transportation Services"",""http://www.nasdaq.com/symbol/airm""
AIRT,""Air T, Inc."",""8.41"",""20573265.26"",""n/a"",""n/a"",""Transportation"",""Air Freight/Delivery Services"",""http://www.nasdaq.com/symbol/airt""
ATSG,""Air Transport Services Group, Inc"",""4"",""256942344"",""n/a"",""n/a"",""Transportation"",""Air Freight/Delivery Services"",""http://www.nasdaq.com/symbol/atsg""
AMCN,""AirMedia Group Inc"",""2.24"",""140277307.52"",""n/a"",""1995"",""Technology"",""Advertising"",""http://www.nasdaq.com/symbol/amcn""
AIXG,""Aixtron SE"",""12.76"",""1286482965.24"",""n/a"",""n/a"",""Technology"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/aixg""
AKAM,""Akamai Technologies, Inc."",""37.9"",""6719915895.2"",""n/a"",""1999"",""Miscellaneous"",""Business Services"",""http://www.nasdaq.com/symbol/akam""
AKRX,""Akorn, Inc."",""12.51"",""1189649208.6"",""n/a"",""n/a"",""Consumer Durables"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/akrx""
ALSK,""Alaska Communications Systems Group, Inc."",""2.28"",""104110864.8"",""n/a"",""1999"",""Public Utilities"",""Telecommunications Equipment"",""http://www.nasdaq.com/symbol/alsk""
